Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-287.1025	-372.251	85.14848	0.0439103	0.0215961	0.0190186	0.0266147	0.0159043	0.0474074	0.00233599	0.0474611	0.0132789	0.00756278	0.0116546	0.00170028	0.0189913	0.0102767	0.0360764	0.00726239	0.0151002	0.0108777	0.0360637	0.00244317	0.00555783	0.0168068	0.0038031	0.00637475	0.00609504	0.0144065	0.000718831	0.00651443	0.00881524	0.00279182	0.00772766	0.0244196	0.0712543	0.00815203	0.0195712	0.00213406	0.01119	0.0998323	0.012078	0.0145494	0.0227651	0.0307057	0.00802302	0.00517943	0.000227488	0.0234873	0.0340484	0.00428333	0.0221976	0.0340252	0.048691	0.0112859	0.0192099	0.00902583	0.0188512	0.00852902	0.00550602	0.154106	1.57675	0.0993339	0.324251	0.703727	1.42101	3.08403	10.0671	1.66976	0.06663861	0.0420448	0.0206786	0.0182106	0.025484	0.0152286	0.0453933	0.00223675	0.0454447	0.0127147	0.00724147	0.0111594	0.00162805	0.0181844	0.00984012	0.0345436	0.00695384	0.0144587	0.0104156	0.0345315	0.00233937	0.0053217	0.0160927	0.00364152	0.00610392	0.00583609	0.0137944	0.000688291	0.00623766	0.00844072	0.00267321	0.00739935	0.0233821	0.068227	0.00780569	0.0187397	0.0020434	0.0107146	0.0955908	0.0115649	0.0139313	0.0217979	0.0294011	0.00768215	0.00495938	0.000217823	0.0224894	0.0326019	0.00410135	0.0212545	0.0325796	0.0466223	0.0108064	0.0183938	0.00864236	0.0180503	0.00816666	0.00527209	0.289295	0.710705	0.2892952	1.044371
36	-286.3024	-371.6752	85.37283	0.0151804	0.0266963	0.0445555	0.0222035	0.0139706	0.00343089	0.0464854	0.0179133	0.00593591	0.00271624	0.0119394	0.000669849	0.0139574	0.014884	0.00796173	0.0200297	0.0143793	0.00111838	0.0145798	0.0132476	0.0155861	0.00807378	0.0127235	0.0151201	0.00307319	0.00282737	0.00284844	0.00184194	0.00367779	0.0151424	0.0116078	0.00670475	0.0253532	0.00238376	0.00174035	0.0182284	0.0517459	0.00226331	0.00466336	0.00222743	0.0114394	0.00984071	0.0136075	0.0139886	0.0155219	0.0162979	0.0535614	0.00391195	0.0159007	0.0224198	0.0243583	0.00536266	0.0297229	0.00133553	0.00803513	0.0214957	0.0295304	0.0701819	1.63397	0.0788928	0.289789	0.679485	1.4717	3.45078	12.6754	1.836353	0.02928534	0.018603	0.0327153	0.0546011	0.0272095	0.0171205	0.00420443	0.0569661	0.0219521	0.00727424	0.00332865	0.0146313	0.000820874	0.0171043	0.0182398	0.00975679	0.0245456	0.0176213	0.00137053	0.017867	0.0162345	0.0191002	0.00989412	0.0155921	0.0185291	0.00376608	0.00346483	0.00349066	0.00225722	0.004507	0.0185564	0.0142249	0.00821642	0.0310694	0.00292121	0.00213274	0.0223383	0.0634126	0.0027736	0.00571478	0.00272963	0.0140186	0.0120594	0.0166755	0.0171425	0.0190215	0.0199724	0.0656375	0.00479394	0.0194857	0.0274746	0.0298502	0.00657173	0.0364243	0.00163664	0.00984675	0.0263422	0.0361884	0.449892	0.550108	0.4498925	0.8160186
72	-296.072	-380.3722	84.30016	0.0546159	0.138197	0.0308251	0.0596611	0.0411398	0.00427117	0.0473682	0.104913	0.0333536	0.00754986	0.0471374	0.0353855	0.0558508	0.0764671	0.0230794	0.013985	0.0747804	0.00448535	0.0110585	0.00144047	0.00946808	0.0228615	0.0313315	0.00247082	0.00109677	0.0210992	0.0209366	0.0255085	0.048783	0.019365	0.0220239	0.16436	0.0251459	0.0142125	9.89393e-05	0.0366114	0.0440886	0.0378646	0.0467253	0.0260919	0.0172938	0.113792	0.0555026	0.0400271	0.016858	0.0527686	0.0840733	0.0149666	0.0104911	0.00697359	0.0481423	0.0189382	0.0124815	0.0131964	0.0644737	0.0398308	0.0158576	0.187522	1.55396	0.245891	0.504503	0.807791	1.23794	1.98215	4.06684	1.014369	0.08227749	0.0258674	0.0654537	0.0145995	0.028257	0.0194848	0.00202293	0.0224347	0.0496895	0.0157971	0.0035758	0.0223255	0.0167595	0.0264523	0.0362167	0.010931	0.00662363	0.0354178	0.00212437	0.00523756	0.000682241	0.00448432	0.0108278	0.0148394	0.00117024	0.000519459	0.00999312	0.00991609	0.0120814	0.0231048	0.00917175	0.0104311	0.0778449	0.0119097	0.00673138	4.68601e-05	0.01734	0.0208815	0.0179336	0.0221302	0.0123577	0.00819076	0.0538947	0.0262874	0.0189578	0.00798436	0.0249925	0.0398192	0.00708855	0.00496882	0.00330286	0.0228014	0.00896959	0.00591153	0.00625015	0.0305363	0.0188648	0.00751057	0.308317	0.691683	0.308317	2.111377
108	-282.9689	-367.2047	84.23582	0.0393616	0.0374876	0.0148667	0.0936272	0.0364963	0.0018886	0.00277159	0.0532213	0.0151444	0.00151899	0.11324	0.0301886	0.00196958	0.00841387	0.0266337	0.0036236	0.0257439	0.0207463	0.0793884	0.0123128	0.0191984	0.0306482	0.0201935	0.000872895	0.00118399	0.00191291	0.0386013	0.038317	0.028138	0.00121056	0.0178193	0.0207403	0.0671849	0.0262875	0.0227969	0.0315192	0.0184512	0.00170461	0.041756	0.0375635	0.00198871	0.0236461	0.0142335	0.0408352	0.00976264	0.0454061	0.068264	0.0251433	0.017289	0.0469459	0.02531	0.0397952	0.0392603	0.0284808	0.00363958	0.133937	0.0231549	0.0612822	1.64003	0.0635357	0.260753	0.657467	1.52099	3.83505	15.7392	1.992888	0.02547707	0.0235439	0.022423	0.00889243	0.0560026	0.02183	0.00112966	0.00165781	0.031834	0.00905852	0.000908574	0.0677336	0.0180572	0.00117809	0.00503271	0.0159308	0.00216744	0.0153986	0.0124093	0.0474858	0.00736486	0.0114834	0.0183321	0.0120786	0.000522117	0.000708195	0.0011442	0.0230892	0.0229191	0.0168306	0.000724089	0.0106585	0.0124057	0.0401863	0.0157237	0.0136358	0.0188531	0.0110365	0.0010196	0.0249761	0.0224684	0.00118954	0.0141438	0.0085137	0.0244254	0.00583947	0.0271594	0.0408317	0.0150393	0.0103413	0.0280805	0.0151391	0.0238033	0.0234833	0.0170356	0.00217699	0.0801134	0.01385	0.316179	0.683821	0.3161785	1.671837
144	-287.7868	-372.7423	84.95549	0.00925743	0.0508162	0.0309469	0.0431556	0.00864982	0.00115048	0.0126578	0.046256	0.0289149	0.00772089	0.0294931	0.00180962	0.0393563	0.014772	0.0169314	0.00959699	0.0192796	0.00140022	0.062269	0.0187324	0.135646	0.0136791	0.00672556	0.000823272	0.00209422	0.00416031	0.0122817	0.00403224	0.00397747	0.00396114	0.0322596	0.074962	0.00385641	0.00317508	0.00544924	0.0368154	0.0367233	0.0632617	0.0386501	0.00173229	0.00472997	0.0285998	0.0568332	0.0215804	0.00918539	0.00969312	0.064976	0.00395619	0.000507832	0.00561796	0.0884025	0.00380304	0.00480431	0.0109549	0.000700395	0.00231866	0.0170844	0.156018	1.57544	0.109184	0.339554	0.713924	1.40071	2.94504	9.15881	1.601393	0.06752124	0.00728255	0.0399756	0.024345	0.0339492	0.00680455	0.000905045	0.00995751	0.0363882	0.0227465	0.00607379	0.0232013	0.00142357	0.0309605	0.0116207	0.0133194	0.00754967	0.0151667	0.00110152	0.0489852	0.0147362	0.106708	0.010761	0.0052908	0.000647644	0.00164746	0.0032728	0.00966162	0.00317205	0.00312896	0.00311611	0.0253777	0.0589703	0.00303372	0.00249774	0.00428676	0.0289616	0.0288891	0.0497661	0.0304049	0.00136274	0.00372093	0.0224986	0.044709	0.0169767	0.00722588	0.00762529	0.0511147	0.00311222	0.000399497	0.00441948	0.0695436	0.00299174	0.00377941	0.0086179	0.00055098	0.00182402	0.0134398	0.19898	0.80102	0.1989802	1.27118
180	-289.6647	-374.7744	85.10967	0.010282	0.0287382	0.00761264	0.0196647	0.00169533	0.0126269	0.00606315	0.0611469	0.00506282	0.00576621	0.0282329	0.0106386	0.00610999	0.00184479	0.00452766	0.00418265	0.0133494	0.000161478	0.00919115	0.00945151	0.0230491	0.0111966	0.00137007	0.000499881	0.0266834	0.00195965	0.0198411	0.00936275	0.00407914	0.000235388	0.0248656	0.0100606	0.000935612	0.00492823	0.0238928	0.00735753	0.00428663	0.0296722	0.00966359	0.0098525	0.00131735	0.00835765	0.0199449	0.0183936	0.00016801	0.00554737	0.0449042	0.00123061	0.00168567	0.00332347	0.0188168	0.00233977	0.00244896	0.0132257	0.000239626	0.00295756	0.0135831	0.350327	1.44296	0.104205	0.331911	0.708871	1.41069	3.01286	9.59648	1.635145	0.1655343	0.0163563	0.045716	0.01211	0.031282	0.00269688	0.0200865	0.00964509	0.0972708	0.0080538	0.00917273	0.0449121	0.0169236	0.00971961	0.00293465	0.00720248	0.00665364	0.0212358	0.000256875	0.014621	0.0150352	0.0366658	0.0178112	0.00217946	0.000795197	0.0424471	0.00311736	0.0315627	0.014894	0.00648898	0.000374449	0.0395555	0.0160041	0.00148834	0.00783969	0.0380079	0.0117042	0.00681905	0.0472017	0.0153726	0.0156731	0.0020956	0.0132951	0.0317278	0.02926	0.000267266	0.0088246	0.0714323	0.00195762	0.00268152	0.00528689	0.0299332	0.00372204	0.00389574	0.0210391	0.000381191	0.00470481	0.0216077	0.420277	0.579723	0.4202773	0.6286256
216	-281.1097	-366.5554	85.44574	0.00880712	0.0301352	0.00254561	0.0179897	0.0017785	0.00611649	0.0242067	0.0235187	0.00285994	0.00440969	0.0202433	0.00648562	0.0118518	0.00819801	0.00442649	0.00832609	0.00387291	0.0037545	0.0193811	0.00330693	0.010403	0.0167829	0.000109168	0.00331341	0.00171941	0.00156428	0.00956541	0.00182201	0.00148499	0.01441	0.00046925	0.0363588	0.000983387	0.00354876	0.0142822	0.00185803	0.00435436	0.0010601	0.0169929	0.0112167	0.00295701	0.0388274	0.0288587	0.0148319	0.000686895	0.0128963	0.0454743	0.00451634	0.00634418	0.00952474	0.00172213	0.000590767	0.00154691	0.00337956	0.000415479	0.0028379	0.0105449	0.126425	1.59562	0.0850321	0.300576	0.687277	1.45502	3.32694	11.7603	1.782167	0.05402205	0.0159993	0.0547446	0.00462443	0.0326806	0.00323089	0.0111114	0.0439746	0.0427249	0.00519547	0.00801078	0.0367747	0.011782	0.0215304	0.0148928	0.00804131	0.0151255	0.00703567	0.00682055	0.0352084	0.00600749	0.0188984	0.0304883	0.000198318	0.00601926	0.00312353	0.00284173	0.0173768	0.00330993	0.00269768	0.0261776	0.000852455	0.0660506	0.00178645	0.00644679	0.0259456	0.00337536	0.00791028	0.00192582	0.0308698	0.0203767	0.00537181	0.0705352	0.0524257	0.0269442	0.00124784	0.0234279	0.0826101	0.00820454	0.011525	0.017303	0.00312847	0.00107321	0.00281016	0.00613942	0.000754772	0.00515542	0.0191561	0.237356	0.762644	0.2373559	0.5504687
252	-291.3736	-376.7059	85.33229	0.00695808	0.0302883	0.00310881	0.0205569	0.00122316	0.00278951	0.0188464	0.0412198	0.0158843	0.00488138	0.0312196	0.00367949	0.00368721	0.00426011	0.0198054	0.00291921	0.00328373	0.0031739	0.00683063	0.00802468	0.0103966	0.000613581	0.00712709	0.00145172	0.00317374	0.00116226	0.0232539	0.000290835	0.00136257	0.00581756	0.00308884	0.0127343	0.00148383	0.00701834	0.0184976	0.00139454	0.00183634	0.0239677	0.00454161	0.00464109	0.0104558	0.0384919	0.0424103	0.011914	0.00387021	0.00145771	0.0129322	0.00957252	0.0155583	0.000370378	0.00416345	0.00341116	0.000567178	0.00367037	0.00430275	0.000868947	0.0106864	0.140446	1.58606	0.075769	0.284135	0.67532	1.48078	3.51945	13.198	1.865566	0.06037532	0.0128568	0.0559653	0.0057443	0.0379841	0.00226009	0.00515432	0.0348235	0.076164	0.0293503	0.00901958	0.0576861	0.00679879	0.00681305	0.00787163	0.0365955	0.00539397	0.00606751	0.00586457	0.0126213	0.0148276	0.0192103	0.00113375	0.0131691	0.00268242	0.00586429	0.00214756	0.0429675	0.000537391	0.00251769	0.0107494	0.0057074	0.0235297	0.00274174	0.0129681	0.0341789	0.00257675	0.00339309	0.0442864	0.00839176	0.00857558	0.0193198	0.0711234	0.0783638	0.0220142	0.00715119	0.00269349	0.0238955	0.0176876	0.0287479	0.000684367	0.00769302	0.00630298	0.001048	0.00678193	0.00795041	0.0016056	0.0197457	0.384099	0.615901	0.3840989	0.5411985
288	-293.3473	-378.4985	85.15122	0.0152319	0.0262884	0.0114311	0.016521	0.00371606	0.00347878	0.00513821	0.0118511	0.016631	0.00785494	0.0203257	0.00328727	0.000414981	0.0165807	0.0182841	0.0114893	0.00324497	0.00492405	0.00902683	0.0065339	0.00601419	0.000823495	0.0044768	0.00482008	0.00115194	0.0140751	0.00538248	0.00396882	0.00201218	0.0063121	0.00139238	0.0405349	0.0216287	0.001648	0.00632974	0.00899476	0.00401596	0.028357	0.0186829	0.00189375	0.0112719	0.0731369	0.0372165	0.0151785	0.00284276	0.0194846	0.0150685	0.0137152	0.0266324	0.000599566	0.000309447	0.00271737	0.000706707	0.00610803	0.00723753	0.00226306	0.00347574	0.110397	1.60655	0.0557503	0.244648	0.64452	1.55154	4.08751	17.9371	2.087408	0.04685254	0.0240731	0.0415474	0.0180663	0.0261105	0.00587302	0.00549801	0.00812064	0.0187299	0.0262843	0.0124143	0.0321236	0.00519534	0.000655853	0.0262049	0.028897	0.0181582	0.00512849	0.00778218	0.0142664	0.0103264	0.00950508	0.00130149	0.00707532	0.00761785	0.00182057	0.0222448	0.0085067	0.00627249	0.00318014	0.00997591	0.00220058	0.0640631	0.0341828	0.00260457	0.0100038	0.0142157	0.00634699	0.0448165	0.0295273	0.00299296	0.0178146	0.115589	0.0588185	0.0239888	0.00449282	0.0307942	0.0238148	0.0216761	0.042091	0.000947579	0.000489062	0.00429465	0.00111691	0.00965338	0.0114385	0.00357664	0.0054932	0.23865	0.76135	0.2386502	0.6327346
324	-290.8385	-375.5713	84.73273	0.0493001	0.0331651	0.0191463	0.00690097	0.0267205	0.0371426	0.00466961	0.0883845	0.0215122	0.0175603	0.0309667	0.0244676	0.0110892	0.00815246	0.00530615	0.00959488	0.0120484	0.00187604	0.0828727	0.0122185	0.00300912	0.0392861	0.0181666	0.00119385	0.00138148	0.0100489	0.0316711	0.00149719	0.0062926	0.0329442	0.0125261	0.103029	0.0318375	0.00975314	0.0442893	0.0272565	0.0161328	0.0183501	0.140051	0.000471257	0.0138117	0.0300979	0.0864092	0.0141336	0.00658979	0.00477943	0.0057099	0.00182713	0.0578379	0.00286279	0.0720259	0.00318369	0.00887788	0.0131098	0.0368609	0.0144018	0.0579423	0.272218	1.49621	0.163296	0.413206	0.759016	1.3175	2.4201	6.12385	1.310339	0.1240486	0.0332492	0.0223673	0.0129128	0.00465419	0.018021	0.0250499	0.0031493	0.0596087	0.0145084	0.0118431	0.0208847	0.0165016	0.00747883	0.00549823	0.0035786	0.00647103	0.00812576	0.00126525	0.0558914	0.00824047	0.00202943	0.0264956	0.012252	0.000805163	0.000931705	0.00677724	0.0213598	0.00100974	0.00424389	0.0222184	0.00844792	0.0694851	0.021472	0.00657776	0.0298698	0.0183824	0.0108804	0.0123758	0.0944542	0.000317828	0.00931494	0.0202988	0.0582765	0.00953207	0.00444432	0.00322337	0.0038509	0.00123226	0.0390073	0.00193074	0.0485761	0.00214716	0.00598746	0.00884159	0.0248599	0.0097129	0.0390777	0.305468	0.694532	0.3054684	1.482744
